complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier,cumulative_request_count,cumulative_workload_share
LEAD,1979,1947,114.31732580037665,28.5,405.3766666666667,0.3733949666153056,0.615819209039548,0.6266050333846944,0.384180790960452,0.05861546235472461,0.004174409750273688,0.015150563632367256,0.38749049956382237,0.007729405125919045,0.0008213443578108386,0.12321892981933068,54,Monitor,449280,0.947690152907005
SNOW OR ICE,1943,1939,75.1780506847745,55.71,177.68211111111114,0.3140794223826715,0.45435791645177925,0.6859205776173285,0.5456420835482207,0.4153371075656202,0.004098473039303576,0.014585361258517286,0.5503427774422743,0.0050560518418577855,0.42890342956185884,0.23555443447581373,34,Moderate,451223,0.9517886259463085
OBSTRUCTION,1915,1882,110.93079185854292,39.76819444444445,239.83136111111116,0.3607863974495218,0.5685441020191286,0.6392136025504782,0.4314558979808714,0.2605744125326371,0.004039411152993488,0.014145759412189532,0.4351728805347159,0.00749809267549052,0.2431812058309451,0.173479679364421,44,Moderate,453138,0.955828037099302
VENDOR ENFORCEMENT,1715,1715,1.3609321347586654,1.0286111111111111,1.8055555555555556,0.99533527696793,0.9988338192419826,0.004664723032069971,0.0011661807580174927,0.7026239067055393,0.003617540536492863,0.011005746224134142,0.0011762273781992206,1.407710643509077e-05,0.7736605635302932,0.12025677934273771,55,Monitor,454853,0.9594455776357949
SAFETY,1681,1607,476.78094914609693,193.63333333333333,1128.2706666666675,0.03484754200373367,0.11885500933416304,0.9651524579962664,0.881144990665837,0.2540154669839381,0.003545822531687757,0.010471943982164725,0.888736034322998,0.032486974471850893,0.2353101749447568,0.3120799118267407,25,High,456534,0.9629914001674826
FOOD ESTABLISHMENT,1612,1522,13316.347257628851,9206.148055555555,32976.96555555556,0.006570302233902759,0.008541392904073587,0.9934296977660972,0.9914586070959264,0.1600496277915633,0.0034002771689950408,0.009388639432285616,1.0,0.9094755404410193,0.12254692404743937,0.5035631704966197,3,Critical,458146,0.9663916773364777
DIRTY CONDITIONS,1577,1576,228.7416772419628,66.75,680.8583333333333,0.20558375634517767,0.41116751269035534,0.7944162436548223,0.5888324873096447,0.17374762206721622,0.0033264498111074316,0.008839137124375923,0.5939052655303374,0.015544999942109294,0.1389851358334606,0.20522204801607372,35,Moderate,459723,0.9697181271475851
NONCOMPLIANCE WITH PHASED REOPENING,1557,1557,242.83036947834154,15.443888888888889,791.9116666666671,0.527296082209377,0.5921644187540142,0.472703917790623,0.40783558124598585,0.44508670520231214,0.003284262749457369,0.008525135805570383,0.41134907531901294,0.016507308302369073,0.4646042903345976,0.19938062533831696,36,Moderate,461280,0.9730023898970425
SANITATION CONDITION,1508,1505,60.783942414174966,27.216666666666665,134.93666666666726,0.373421926910299,0.667109634551495,0.626578073089701,0.332890365448505,0.11206896551724138,0.0031809044484147155,0.007755832574496813,0.3357582082257287,0.004072882467803613,0.06496796232304004,0.11400177471080922,57,Monitor,462788,0.9761832943454571
AIR QUALITY,1485,1467,66.65156782549421,38.6,147.26666666666668,0.3858214042263122,0.5732788002726653,0.6141785957736878,0.4267211997273347,0.41548821548821546,0.003132389327517144,0.007394731057870443,0.43039739296554236,0.004473662390698469,0.4290847658936006,0.19696482112209718,38,Moderate,464273,0.9793156836729744
DEAD/DYING TREE,1475,1153,3452.858083020141,793.6113888888889,11983.09922222221,0.09280138768430182,0.1448395490026019,0.9071986123156982,0.8551604509973981,0.059661016949152545,0.0031112957966921125,0.007237730398467673,0.8625276384480053,0.23576374840193942,0.002076057092477583,0.3087556554181248,26,High,465748,0.9824269794696664
ROOT/SEWER/SIDEWALK CONDITION,1450,1213,6919.002326875515,3713.2052777777776,19342.03122222222,0.02967848309975268,0.0403957131079967,0.9703215169002474,0.9596042868920033,0.057931034482758624,0.0030585619696295342,0.00684522874996075,0.9678712555663546,0.472513868836515,0.0,0.3872599804996957,11,Critical,467198,0.985485541439296
RESIDENTIAL DISPOSAL COMPLAINT,1298,1289,73.9671793379881,31.730555555555554,163.7768888888889,0.3762606671838635,0.6245151280062063,0.6237393328161366,0.37548487199379366,0.2172573189522342,0.002737940301089059,0.004458818727038654,0.3787196654569609,0.004973344973068161,0.1911987371643329,0.14485096576081535,49,Moderate,468496,0.988223481740385
NOISE - PARK,1263,1263,1.2991565496613002,0.6038888888888889,2.779,0.997624703087886,0.9992082343626286,0.0023752969121140144,0.000791765637371338,0.7086302454473475,0.0026641129432014494,0.00390931641912896,0.0007985866799729467,9.857611750862094e-06,0.7808684412903182,0.11874007446658491,56,Monitor,469759,0.9908875946835864
ANIMAL-ABUSE,1221,1220,3.233004781420765,1.2369444444444444,6.723194444444445,0.9901639344262295,0.9959016393442623,0.009836065573770493,0.004098360655737705,0.24406224406224405,0.002575520113736318,0.0032499136496373284,0.004133667937728819,0.00014194640251105064,0.22336585791207292,0.03591083812600486,65,Monitor,470980,0.9934631147973229
TRAFFIC,1057,1057,1.154836013875749,0.5,2.6691111111111105,0.9981078524124882,1.0,0.001892147587511826,0.0,0.489120151371807,0.0022295862082058054,0.0006751028354319088,0.0,0.0,0.5174464144614175,0.07785324816161378,63,Monitor,472037,0.9956927010055286
DEAD ANIMAL,1028,1024,103.31230170355903,54.03805555555556,244.60538888888897,0.169921875,0.439453125,0.830078125,0.560546875,0.19066147859922178,0.0021684149688132146,0.0002198009231638773,0.5653759733267064,0.006977722392309275,0.1592825275680788,0.19497764593479294,40,Moderate,473065,0.9978611159743418
INDOOR AIR QUALITY,1014,1007,31.515954981794106,12.918611111111112,58.04144444444443,0.7358490566037735,0.874875868917577,0.2641509433962264,0.12512413108242304,0.20611439842209073,0.002138884025658171,0.0,0.12620207256954796,0.0020737736419728387,0.17782672927009163,0.0649493858897727,64,Monitor,474079,1.0
