borough,incident_zip,complaint_type,request_count,avg_response_hours,repeat_proxy_rate,delay_48h_rate,volume_score,delay_score,response_score,repeat_score,hotspot_priority_score,hotspot_rank,hotspot_label
BROOKLYN,11238,UNSANITARY CONDITION,130,679.3804978632479,0.5,0.9615384615384616,0.003036437246963563,0.9615384615384616,0.04216488581237016,0.451923076923077,0.33830853853987175,60,BROOKLYN | 11238 | UNSANITARY CONDITION
BROOKLYN,11226,HEAT/HOT WATER,1304,51.11812180470348,0.9079754601226994,0.4348159509202454,0.12186234817813765,0.4348159509202454,0.003155336469220693,0.8991269466729589,0.33774761680629134,61,BROOKLYN | 11226 | HEAT/HOT WATER
MANHATTAN,10029,UNSANITARY CONDITION,134,913.9368490878938,0.4925373134328358,0.9552238805970148,0.0034412955465587046,0.9552238805970148,0.056728765340298935,0.4437428243398393,0.33744036803688987,62,MANHATTAN | 10029 | UNSANITARY CONDITION
BRONX,10452,PLUMBING,224,513.5335416666667,0.6607142857142857,0.8080357142857143,0.012550607287449392,0.8080357142857143,0.031867253377734585,0.6280906593406593,0.33742739136120037,63,BRONX | 10452 | PLUMBING
BROOKLYN,11212,DOOR/WINDOW,114,712.427880116959,0.4824561403508772,0.9736842105263158,0.001417004048582996,0.9736842105263158,0.044216836617980614,0.43269230769230765,0.3371588412821708,64,BROOKLYN | 11212 | DOOR/WINDOW
BRONX,10456,PLUMBING,271,511.1972232472325,0.5940959409594095,0.8560885608856088,0.01730769230769231,0.8560885608856088,0.03172218862113402,0.555066704513199,0.336716886340289,65,BRONX | 10456 | PLUMBING
MANHATTAN,10040,PAINT/PLASTER,106,689.7815015723271,0.6320754716981132,0.839622641509434,0.0006072874493927126,0.839622641509434,0.042810696357246394,0.5966981132075472,0.335909802452212,66,MANHATTAN | 10040 | PAINT/PLASTER
BROOKLYN,11208,PLUMBING,125,436.6644644444444,0.632,0.84,0.0025303643724696357,0.84,0.027094362026712122,0.5966153846153847,0.3343993769760716,67,BROOKLYN | 11208 | PLUMBING
BROOKLYN,11207,UNSANITARY CONDITION,282,586.4796227344366,0.5177304964539007,0.9078014184397164,0.018421052631578946,0.9078014184397164,0.036396561286724166,0.4713584288052373,0.3340499456166168,68,BROOKLYN | 11207 | UNSANITARY CONDITION
BRONX,10462,UNSANITARY CONDITION,218,430.75246432212026,0.5091743119266054,0.9311926605504588,0.01194331983805668,0.9311926605504588,0.026727278990584205,0.46197953422724064,0.3339804917668731,69,BRONX | 10462 | UNSANITARY CONDITION
MANHATTAN,10033,HEAT/HOT WATER,663,53.52871459694989,0.9215686274509804,0.5113122171945701,0.056983805668016196,0.5113122171945701,0.0033050130089258404,0.914027149321267,0.3339227583814413,70,MANHATTAN | 10033 | HEAT/HOT WATER
MANHATTAN,10031,PAINT/PLASTER,196,484.1106462585034,0.5918367346938775,0.8571428571428571,0.009716599190283401,0.8571428571428571,0.030040351220321105,0.5525902668759812,0.333196460020072,71,MANHATTAN | 10031 | PAINT/PLASTER
MANHATTAN,10032,PLUMBING,127,750.2730446194225,0.6141732283464567,0.8346456692913385,0.0027327935222672063,0.8346456692913385,0.046566687362378664,0.5770745003028468,0.33215443789666765,72,MANHATTAN | 10032 | PLUMBING
BRONX,10451,PLUMBING,124,550.594964157706,0.5806451612903226,0.8709677419354839,0.0024291497975708503,0.8709677419354839,0.034168440659490235,0.5403225806451614,0.33190337763085515,73,BRONX | 10451 | PLUMBING
BROOKLYN,11215,REQUEST LARGE BULKY ITEM COLLECTION,410,121.00922764227644,0.6073170731707317,0.8170731707317073,0.03137651821862348,0.8170731707317073,0.007494957375572761,0.5695590994371482,0.3318549634641418,74,BROOKLYN | 11215 | REQUEST LARGE BULKY ITEM COLLECTION
