borough,complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
BROOKLYN,BUILDING/USE,812,812,2273.377109332239,1299.1605555555557,6334.422805555553,0.1834975369458128,0.20812807881773399,0.8165024630541872,0.791871921182266,0.16133004926108374,0.001844222269665269,0.012768986016913673,0.7966326742154259,0.12463684073150898,0.1333658957298014,0.28839119987631956,70,High
QUEENS,ELECTRIC,581,561,447.0182070707071,152.0572222222222,1132.3366666666666,0.0855614973262032,0.2281639928698752,0.9144385026737968,0.7718360071301248,0.2908777969018933,0.001319572830881184,0.003098049066398727,0.7764763037661776,0.024478404891797218,0.2738212125359164,0.2799960711618397,71,High
MANHATTAN,NOISE,2896,2854,110.86900840925018,66.09166666666667,216.66166666666672,0.2669936930623686,0.42676944639103015,0.7330063069376314,0.5732305536089699,0.46650552486187846,0.006577423267180566,0.10001674621116972,0.5766768294823705,0.006043814677894767,0.4642363190876195,0.2788531208173424,72,High
BROOKLYN,MISSED COLLECTION,2022,2014,144.05254758358157,92.21680555555555,318.994,0.06653426017874876,0.24081429990069514,0.9334657398212513,0.7591857000993049,0.17754698318496537,0.004592385996629525,0.0634262748053253,0.7637499427852726,0.007863616566346862,0.15094825152820587,0.27553914005994584,73,High
BROOKLYN,SNOW OR ICE,598,598,104.6175422705314,87.73527777777778,231.20844444444447,0.1505016722408027,0.2959866220735786,0.8494983277591973,0.7040133779264214,0.3795986622073579,0.001358183395640186,0.0038097630411119483,0.7082459232846965,0.005700981147539005,0.3700121341900893,0.27044921040781933,74,High
MANHATTAN,SIDEWALK CONDITION,518,507,372.772117576156,193.2536111111111,721.2209444444445,0.09072978303747535,0.17357001972386588,0.9092702169625246,0.8264299802761341,0.12355212355212356,0.0011764866203037062,0.00046052080716737836,0.831398497191622,0.020406712202161444,0.0924071710868855,0.26752314954346024,75,High
MANHATTAN,NOISE - RESIDENTIAL,10025,10017,1.2011890619280556,0.6183333333333333,2.8008888888888888,0.9999001697114904,1.0,9.98302885095338e-05,0.0,0.7961097256857855,0.022768877159352614,0.3984760947835552,0.0,2.9576603341910737e-05,0.8215923001094358,0.26271139351132805,76,High
QUEENS,OVERGROWN TREE/BRANCHES,1080,853,3522.9361462810994,188.30694444444444,12963.538611111111,0.23798358733880423,0.3223915592028136,0.7620164126611958,0.6776084407971864,0.08703703703703704,0.0024529064670424762,0.023988947500627984,0.681682239038452,0.19316328341218894,0.05281761327458479,0.2594561020103809,77,High
MANHATTAN,ILLEGAL DUMPING,569,563,216.56562808367872,118.57305555555556,528.2913333333333,0.11367673179396093,0.2557726465364121,0.8863232682060391,0.7442273534635879,0.21968365553602812,0.001292318314580712,0.0025956627313070417,0.748701666209862,0.011840270175785568,0.19663271746452926,0.25738194347375254,78,High
BRONX,ILLEGAL DUMPING,660,648,166.82789866255143,91.78527777777778,316.1884166666667,0.07716049382716049,0.23919753086419754,0.9228395061728395,0.7608024691358025,0.17424242424242425,0.0014989983965259576,0.00640542577241899,0.7653764318760979,0.009112628212932445,0.14736545768090567,0.25578217287789834,79,High
QUEENS,NOISE - RESIDENTIAL,10937,10931,8.071521132558777,0.8958333333333334,4.322777777777778,0.9967066142164487,0.9984447900466563,0.0032933857835513677,0.0015552099533437014,0.6510926213769772,0.024840220398188482,0.4366574562505233,0.0015645599129830423,0.0004063490509926426,0.6643651487391659,0.2530355197826515,80,High
STATEN ISLAND,REQUEST LARGE BULKY ITEM COLLECTION,1450,1444,74.40369344413666,61.141666666666666,124.245,0.004155124653739612,0.3234072022160665,0.9958448753462604,0.6765927977839336,0.2413793103448276,0.0032932540529736947,0.03947919283262162,0.6806604899549792,0.0040440385633612845,0.22015508759430608,0.2518479353297295,81,High
